Respondent_ID,Timestamp,Age,Gender,Education level,"IT proficiency at the,",You receive an unexpected email asking to confirm your personal details like this. What should you do?,You receive an unexpected email that feels suspicious. Which detail should make you think twice before clicking?,"If an email address looks like “support@amazo0n.com,” what should you do?",You’re asked to reset your password through an email link. What is the safest step?,Why is it risky to use the same password for email and banking?,"You receive a pop-up asking for your login like this.What should you do?",Why do Fake emails often include urgent messages like “Act Now!”?,What’s a “spear phishing” attack?,Why do attackers sometimes use HTTPS in phishing sites?,What should be your first response if you clicked a phishing link?
1,2025/08/22 11:15:57 AM GMT+5:30,22,Female,Degree,University /Diploma level,Click the link to check,Grammatical mistakes and an urgent tone,Reply to confirm if it’s real,Click and reset it,It can be confusing,Close the window and restart,To scare you into clicking,A generic email to many people,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
2,2025/08/22 11:17:32 AM GMT+5:30,22,Female,Degree,University /Diploma level,Click the link to check,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,Because email is not important,Enter details quickly,To scare you into clicking,A generic email to many people,To trick users into feeling safe,Close the tab and continue working
3,2025/08/22 11:18:24 AM GMT+5:30,22,Male,Degree,University /Diploma level,Click the link to check,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To scare you into clicking,A generic email to many people,Because it’s required by law,"Run antivirus, change your passwords, report it"
4,2025/08/22 11:19:06 AM GMT+5:30,22,Male,Degree,University /Diploma level,Click the link to check,It comes from your manager,Delete and mark as spam,Ignore it,"If one is breached, both are compromised",Close the window and restart,To scare you into clicking,A generic email to many people,To trick users into feeling safe,Close the tab and continue working
5,2025/08/22 11:19:50 AM GMT+5:30,22,Male,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Delete and mark as spam,Ignore it,Because email is not important,Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,Ignore it
6,2025/08/22 11:20:31 AM GMT+5:30,22,Male,Degree,University /Diploma level,Click the link to check,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,It can be confusing,Close the window and restart,To scare you into clicking,A generic email to many people,Because it’s required by law,"Run antivirus, change your passwords, report it"
7,2025/08/22 11:45:23 AM GMT+5:30,22,Female,Diploma,School Level,Ignore and delete it,The subject line includes your name,Recognize it’s spoofed and report it,Ignore it,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,An attack using harmful hardware,To block ads,Ignore it
8,2025/08/25 8:44:58 AM GMT+5:30,25,Male,Degree,University /Diploma level,Ignore and delete it,Grammatical mistakes and an urgent tone,Reply to confirm if it’s real,Click and reset it,It can be confusing,Close the window and restart,To help users stay alert,An attack using harmful hardware,To improve speed,"Run antivirus, change your passwords, report it"
9,2025/08/25 8:45:35 AM GMT+5:30,25,Male,Degree,University /Diploma level,Click the link to check,Grammatical mistakes and an urgent tone,Reply to confirm if it’s real,Click and reset it,It can be confusing,Close the window and restart,To scare you into clicking,An attack using harmful hardware,To improve speed,Close the tab and continue working
10,2025/08/25 8:46:11 AM GMT+5:30,25,Male,Degree,University /Diploma level,Ignore and delete it,No signature at the end,Delete and mark as spam,Ignore it,"If one is breached, both are compromised",Click “Yes” and update later,Because it’s a system error,An attack using harmful hardware,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
