gender,proficiency,education,You receive an unexpected email asking to confirm your personal details like this. What should you do?,You receive an unexpected email that feels suspicious. Which detail should make you think twice before clicking?,"If an email address looks like “support@amazo0n.com,” what should you do?",You’re asked to reset your password through an email link. What is the safest step?,Why is it risky to use the same password for email and banking?,You receive a pop-up asking for your login like this.What should you do?,Why do Fake emails often include urgent messages like “Act Now!”?,What’s a “spear phishing” attack?,Why do attackers sometimes use HTTPS in phishing sites?,What should be your first response if you clicked a phishing link?
Female,High Education,Degree,Click the link to check,Grammatical mistakes and an urgent tone,Reply to confirm if it’s real,Click and reset it,It can be confusing,Close the window and restart,To scare you into clicking,A generic email to many people,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
Male,School,A/L,Click the link to check,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,Because email is not important,Enter details quickly,To scare you into clicking,A generic email to many people,To trick users into feeling safe,Close the tab and continue working
Female,High Education,HND,Click the link to check,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To scare you into clicking,A generic email to many people,Because it’s required by law,"Run antivirus, change your passwords, report it"
Male,School,A/L,Click the link to check,It comes from your manager,Delete and mark as spam,Ignore it,"If one is breached, both are compromised",Close the window and restart,To scare you into clicking,A generic email to many people,To trick users into feeling safe,Close the tab and continue working
Male,School,Degree,Ignore and delete it,It comes from your manager,Delete and mark as spam,Ignore it,Because email is not important,Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,Ignore it
Male,School,O/L,Click the link to check,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,It can be confusing,Close the window and restart,To scare you into clicking,A generic email to many people,Because it’s required by law,"Run antivirus, change your passwords, report it"
Female,School,O/L,Ignore and delete it,The subject line includes your name,Recognize it’s spoofed and report it,Ignore it,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,An attack using harmful hardware,To block ads,Ignore it
Male,School,HND,Ignore and delete it,Grammatical mistakes and an urgent tone,Reply to confirm if it’s real,Click and reset it,It can be confusing,Close the window and restart,To help users stay alert,An attack using harmful hardware,To improve speed,"Run antivirus, change your passwords, report it"
Female,School,Degree,Click the link to check,Grammatical mistakes and an urgent tone,Reply to confirm if it’s real,Click and reset it,It can be confusing,Close the window and restart,To scare you into clicking,An attack using harmful hardware,To improve speed,Close the tab and continue working
Female,High Education,O/L,Ignore and delete it,No signature at the end,Delete and mark as spam,Ignore it,"If one is breached, both are compromised",Click “Yes” and update later,Because it’s a system error,An attack using harmful hardware,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
Male,School,A/L,Click the link to check,The subject line includes your name,Reply to confirm if it’s real,Ignore it,It can be confusing,Close the window and restart,To scare you into clicking,A generic email to many people,To trick users into feeling safe,Ignore it
Female,School,A/L,Ignore and delete it,The subject line includes your name,Reply to confirm if it’s real,Ignore it,They work on different platforms,Click “Yes” and update later,To scare you into clicking,A generic email to many people,Because it’s required by law,Ignore it
Female,School,Degree,Click the link to check,The subject line includes your name,Assume it’s a mistake,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
Male,High Education,O/L,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,Because email is not important,Close the window and restart,To help users stay alert,A highly targeted email crafted for a specific person,To trick users into feeling safe,Ignore it
Male,School,O/L,Reply and confirm,Grammatical mistakes and an urgent tone,Assume it’s a mistake,Ignore it,Because email is not important,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
Male,High Education,HND,Ignore and delete it,It comes from your manager,Reply to confirm if it’s real,Ignore it,It can be confusing,Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,To trick users into feeling safe,Ignore it
Male,High Education,O/L,Click the link to check,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A generic email to many people,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
Male,School,Degree,Click the link to check,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,Ignore it
Male,School,A/L,Ignore and delete it,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To speed up support,A generic email to many people,To trick users into feeling safe,Close the tab and continue working
